Title	Author	Published At	Source	URL
Wicked is a dazzling reminder of how good movie musicals can be	Charles Pulliam-Moore	2024-11-21T16:00:00Z	The Verge	https://www.theverge.com/2024/11/21/24301620/wicked-review
The 25 best new horror movies of 2024 (so far)	Caralynn Matassa	2024-11-01T15:32:56Z	Business Insider	https://www.businessinsider.com/best-new-horror-movies-2024
Mac Mini With M4 and M4 Pro Reviews: Smaller Design and Pro Performance Make for Major Upgrade	Hartley Charlton	2024-11-07T14:37:26Z	MacRumors	https://www.macrumors.com/review/mac-mini-with-m4-and-m4-pro/
3 great Hulu movies you need to stream this weekend (October 25-27)	Blair Marnell	2024-10-25T21:00:28Z	Digital Trends	https://www.digitaltrends.com/movies/three-great-hulu-movies-you-need-to-stream-this-weekend-october-25-27-2024/
The Orwell Exception	Megan Garber	2024-10-31T11:30:00Z	The Atlantic	https://www.theatlantic.com/culture/archive/2024/10/orwell-exception-clear-language-donald-trump/680464/
Donald Trump’s Hatred of Free Speech	Adrienne LaFrance	2024-11-04T12:00:00Z	The Atlantic	https://www.theatlantic.com/politics/archive/2024/11/donald-trump-hates-free-speech/680515/
Anna Kendrick's 10 best and 10 worst movies, according to critics	Gabbi Shaw	2024-10-25T14:57:00Z	Business Insider	https://www.businessinsider.com/anna-kendrick-movies-ranked-according-to-critics-2020-8
The Only Movie Stephen King Ever Walked Out Of Was Directed By Michael Bay	staff@slashfilm.com (Debopriyaa Dutta)	2024-11-11T02:00:38Z	/FILM	https://www.slashfilm.com/1705844/stephen-king-movie-walked-out-michael-bay-transformers/
Unknown 9: Awakening review: don’t sleep on this surprisingly intricate gem	Veerender Singh Jubbal	2024-11-09T13:20:32Z	Digital Trends	https://www.digitaltrends.com/gaming/unknown-9-awakening-review/
10 Best Horror Movies Released This Year (Ranked)	Haiden Lovely	2024-10-24T11:53:43Z	The Escapist	https://www.escapistmagazine.com/best-horror-movies-released-this-year/
‘Disturbing’ photos taken at cemetery link back to one of North Carolina’s greatest ghost stories	Michael Hennessey	2024-10-25T14:50:20Z	WGHP FOX 8 Greensboro	https://myfox8.com/news/north-carolina-halloween/disturbing-photos-taken-at-cemetery-link-back-to-one-of-north-carolinas-greatest-ghost-stories-2/
‘Heretic’s End Credits Thank Cameron Crowe And Eddie Redmayne. Here’s Why	"Simon Thompson, Contributor, 
 Simon Thompson, Contributor
 https://www.forbes.com/sites/simonthompson/"	2024-11-08T22:59:54Z	Forbes	https://www.forbes.com/sites/simonthompson/2024/11/08/heretics-end-credits-thank-cameron-crowe-and-eddie-redmayne-heres-why/
Awful Manager Made Their Life Miserable At Work, So They Filled Out An Anonymous Survey And Got Her Fired	Matthew Gilligan	2024-10-30T12:49:30Z	Twistedsifter.com	http://twistedsifter.com/2024/10/an-awful-manager-made-their-life-miserable-at-work-so-they-filled-out-an-anonymous-survey-and-got-her-fired/
Randy Fertel’s Winging It: The Pleasures And Perils Of Improvisation	"Tom Teicholz, Contributor, 
 Tom Teicholz, Contributor
 https://www.forbes.com/sites/tomteicholz/"	2024-11-11T18:52:58Z	Forbes	https://www.forbes.com/sites/tomteicholz/2024/11/11/randy-fertels-winging-it-the-pleasures-and-perils-of-improvisation/
Speak No Evil 2024 BDRip H264-RBB	saamaan1@yahoo.com (Master), Master	2024-11-18T08:58:30Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-bdrip-h264-rbb/
Speak No Evil 2024 BDRip x264-PiGNUS	saamaan1@yahoo.com (Master), Master	2024-11-20T22:04:01Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-bdrip-x264-pignus/
I Finally Watched Speak No Evil, And I Need To Talk About One Big Change From The Original	jerricatisdale@gmail.com (Jerrica Tisdale)	2024-11-15T10:03:00Z	CinemaBlend	https://www.cinemablend.com/movies/i-finally-watched-speak-no-evil-need-to-talk-about-one-big-change-from-original
Michel Houellebecq Has Some Fresh Predictions. Be Afraid.	Judith Shulevitz	2024-10-24T11:00:00Z	The Atlantic	https://www.theatlantic.com/books/archive/2024/10/michel-houellebecq-cynical-novelist-new-age-streak/680350/
American Catholic voters present complex opportunities for Trump, Harris: Academics	Ivan Pereira	2024-10-27T12:59:32Z	ABC News	https://abcnews.go.com/Politics/american-catholic-voters-present-complex-opportunities-trump-harris/story?id=115161260
What to Watch if You Need a Distraction This Week	Stephanie Bai	2024-11-03T12:00:00Z	The Atlantic	https://www.theatlantic.com/newsletters/archive/2024/11/what-to-watch-if-you-need-a-distraction-this-week/680492/
Google's Motto Was 'Don't Be Evil'?	Caroline Wazer	2024-10-27T23:00:00Z	Snopes.com	https://www.snopes.com//fact-check/google-motto-dont-be-evil/
Prosecutors Asked To Consider Criminal Charges Against Russell Brand	Natalie Oganesyan	2024-11-02T22:16:58Z	Deadline	http://deadline.com/2024/11/russell-brand-prosecutors-criminal-charges-sexual-assault-1236165483/
Speak No Evil 2024 1080p BluRay REMUX AVC-TRiToN	saamaan1@yahoo.com (Master)	2024-11-18T08:53:00Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-1080p-bluray-remux-avc-triton/
Speak No Evil 2024 1080p BluRay x264-PiGNUS	saamaan1@yahoo.com (Master)	2024-11-20T22:08:58Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-1080p-bluray-x264-pignus/
Speak No Evil 2024 720p BluRay x264-PiGNUS	saamaan1@yahoo.com (Master), Master	2024-11-20T22:08:17Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-720p-bluray-x264-pignus/
Rick Catizone interviewed: from Night of the Living Dead to Evil Dead 2 to Shudder's Creepshow, reflecting on 50 years in animation	Ian Dean	2024-10-31T13:00:00Z	Creative Bloq	https://www.creativebloq.com/art/2d-animation/rick-catizone-interviewed-from-night-of-the-living-dead-to-evil-dead-2-to-shudders-creepshow-reflecting-on-50-years-in-animation
‘Loki’s Eric Martin Teaming With Victoria Warmerdam On Feature Adaptation Of Her Oscar-Qualified Short ‘I’m Not A Robot’	matthewgrobar	2024-10-28T17:46:39Z	Deadline	http://deadline.com/2024/10/victoria-warmerdam-eric-martin-teaming-im-not-a-robot-feature-1236160049/
A Miami-Dade officer warned he would kill her mentally ill son. It proved prophetic	Carol Marbin Miller, Linda Robertson, Camellia Burris	2024-11-14T10:00:00Z	Miami Herald	https://www.miamiherald.com/news/local/community/miami-dade/article294443479.html
