Title	Author	Published At	Source	URL
Michelle Yeoh’s Star Trek spy movie has a release date	Wes Davis	2024-10-20T22:32:47Z	The Verge	https://www.theverge.com/2024/10/20/24274900/star-trek-section-31-michelle-yeoh-paramount-plus-streaming-premiere-date
Here’s Wassup With That Scary Movie Reboot	Cheryl Eddy	2024-10-29T17:10:54Z	Gizmodo.com	https://gizmodo.com/scary-movie-reboot-wayans-brothers-2000518013
Disney Replaces Blade on Release Schedule with New Predator Movie	Germain Lussier	2024-10-22T16:53:20Z	Gizmodo.com	https://gizmodo.com/blade-release-date-cancel-prey-2-predator-2000515095
We Heard a Juicy Rumor About That Secret Predator Movie	Germain Lussier	2024-10-25T17:05:32Z	Gizmodo.com	https://gizmodo.com/secret-predator-movie-dan-trachtenberg-badlands-prey-2000516609
Ridley Scott Is Already Preparing the Next Alien Movie	Gordon Jackson	2024-11-04T14:00:55Z	Gizmodo.com	https://gizmodo.com/ridley-scott-new-alien-movie-romulus-2000520090
The Rey Movie Has Lost Its Writer (Again)	James Whitbrook	2024-10-25T14:00:48Z	Gizmodo.com	https://gizmodo.com/star-wars-rey-movie-delay-steven-knight-lucasfilm-disney-2000516492
Valencia floods aftermath 'like a disaster movie'		2024-10-31T09:33:57Z	BBC News	https://www.bbc.com/news/videos/c80l54vd7ezo
Venom: The Last Dance Knows Fans Wanted More Venom and Eddie	Isaiah Colbert	2024-10-24T16:04:27Z	Gizmodo.com	https://gizmodo.com/venom-the-last-dance-knows-fans-wanted-more-venom-and-eddie-2000515973
Black Mirror Is Surviving Netflix’s Interactive Specials Purge	Cheryl Eddy	2024-11-05T23:35:35Z	Gizmodo.com	https://gizmodo.com/black-mirror-is-surviving-netflixs-interactive-specials-purge-2000520968
We Almost Got a Seven of Nine Spinoff After Star Trek: Picard	Gordon Jackson	2024-11-06T15:00:43Z	Gizmodo.com	https://gizmodo.com/jeri-ryan-star-trek-seven-of-nine-spinoff-legacy-2000520959
Updates From Andor Season 2, and More	Gordon Jackson	2024-11-15T14:00:28Z	Gizmodo.com	https://gizmodo.com/andor-season-2-empire-cover-story-krennic-new-images-2000524819
